team,player,position,importance,status,note
Brazil,Rodrygo,FWD,star,out,Torn ACL and meniscus in right knee; out for 2026
Brazil,Estêvão,FWD,key,out,Hamstring injury; left off the squad (Neymar took his place)
Brazil,Éder Militão,DEF,key,out,Knee injury; ruled out
Netherlands,Xavi Simons,MID,key,out,Torn ACL in late April
Netherlands,Matthijs de Ligt,DEF,key,out,Long-standing back issue; further surgery
Germany,Serge Gnabry,FWD,key,out,Adductor tear; surgery in April
Spain,Lamine Yamal,FWD,star,doubtful,Hamstring; likely misses opener vs Cabo Verde and doubtful vs Saudi Arabia
Spain,Fermín López,MID,key,out,Fractured fifth metatarsal; left out of the squad
France,William Saliba,DEF,star,doubtful,Back injury; awaiting scans, feared lengthy
France,Hugo Ekitike,FWD,squad,out,Ruptured Achilles in April; out until late 2026
United States,Patrick Agyemang,FWD,key,out,Ruptured Achilles tendon
United States,Johnny Cardoso,MID,key,out,Severe ankle injury; surgery
Japan,Kaoru Mitoma,FWD,star,out,Hamstring injury; did not make the final squad
Scotland,Billy Gilmour,MID,key,out,Knee injury vs Curaçao on May 31
Austria,Christoph Baumgartner,MID,key,out,Injury concern; ruled out
Bosnia & Herzegovina,Haris Tabakovic,FWD,key,out,Injury concern; ruled out
England,Ben White,DEF,squad,out,Injury concern; ruled out
Canada,Marcelo Flores,MID,squad,out,Withdrew injured on May 31
Argentina,Emiliano Martínez,GK,star,questionable,Trained separately; expected to be fit for the opener vs Algeria
